revision_id,property_id,value_id,change_target,property_label,new_value,new_value_label,old_value,old_value_label,label,textual_change_predicted,re_formatting_predicted,refinement_predicted,unrefinement_predicted,property_value_update_predicted,link_change_predicted,rewording_predicted,rank_deprecation_predicted,labels_list,, property_value_update, re_formatting, refinement, rewording, unrefinement,link_change,property_value_update,rank_deprecation,re_formatting,refinement,rewording,string,textual_change,unrefinement
192129230,-1,label,,label,Salam,,Salaam,,textual_change,True,False,False,False,False,False,False,False,['textual_change'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1027639824,19,q171128$6F845DC1-739A-4A0E-B5EB-4DA123288378,,place of birth,Q29,Spain,Q61306,Guanajuato City,property_value_update,False,False,False,False,True,False,False,False,['property_value_update'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13507913,-2,description,,description,Genus of flowering plants,,Hygrophila (plantae),,property_value_update,False,False,False,False,False,False,False,False,['property_value_update'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127273607,-1,label,,label,Cronos,,Chronos (disambiguation),,link_change,False,False,False,False,False,False,False,False,['link_change'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1450303146,-2,description,,description,1957 drama film directed by Sidney Lumet,,1957 American drama film by Sidney Lumet,,refinement,False,False,False,False,False,False,False,False,['refinement'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
354343827,409,Q60914$7172c47b-4985-7550-6ebf-94dbcced557b,,Libraries Australia ID,35677250,,000035677250,,re_formatting,False,False,False,False,False,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
292397998,590,Q79629$E60A24F4-8039-49B7-8808-F76103B9DD60,,GNIS Feature ID,83316,,0083316,,re_formatting,False,False,False,False,False,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
603569203,1576,Q219512$5B1D5049-B419-4979-8078-4D7C836357FF,,lifestyle,Q83364,vegetarianism,Q18338317,vegetarianism,link_change,False,False,False,False,False,True,False,False,['link_change'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12805243,-2,description,,description,Italian comune,,an Italian comune,,textual_change,False,True,False,False,False,False,False,False,['textual_change'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
501466,-2,description,,description,Indian state,,a state in India,,rewording,False,False,False,False,False,False,False,False,['rewording'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1031357203,-2,description,,description,Symbol,,symbol,,re_formatting,False,True,False,False,False,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71495406,-1,label,,label,La Celle,,"La Celle, Cher",,unrefinement,False,False,False,True,False,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66138376,-1,label,,label,conflict,,Conflict,,re_formatting,False,True,False,False,False,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1191141235,-1,label,,label,Porcia,,Porcia Catonis,,unrefinement,False,False,False,True,False,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
908481293,-1,label,,label,shōjo,,shōjo manga,,unrefinement,False,False,False,True,False,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2047576699,-1,label,,label,Riano,,"Riano, Lazio",,unrefinement,False,False,False,True,False,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168377440,-1,label,,label,Kitty Genovese,,Murder of Kitty Genovese,,unrefinement,False,False,False,True,False,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
903264899,569,Q36330$c57461d3-4aba-c161-4256-bac2857d6d80,,date of birth,+1548-01-00T00:00:00Z,,+1548-01-01T00:00:00Z,,re_formatting,False,False,False,True,True,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
279396601,570,Q113777$A37EB31B-3104-45E7-B404-D3A26213FE8F,,date of death,+1976-00-00T00:00:00Z,,+1976-05-28T00:00:00Z,,unrefinement,False,False,False,True,True,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
467261511,570,q237914$ED590D34-F370-414A-8393-96BCBF53D3B8,,date of death,+5-00-00T00:00:00Z,,+1979-07-15T00:00:00Z,,property_value_update,False,False,False,True,True,False,False,False,['property_value_update'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1380705512,570,Q210445$F5423D6C-3A7B-4C49-9B2C-F36543FD9572,,date of death,+1430-00-00T00:00:00Z,,+1430-02-01T00:00:00Z,,unrefinement,False,False,False,True,True,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1461727589,569,Q372161$AFF7C2CB-39B4-42F3-AB3D-0E21CE903C97,,date of birth,+1862-00-00T00:00:00Z,,+1862-01-16T00:00:00Z,,unrefinement,False,False,False,True,True,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
261457564,569,Q692$4E2E7E3E-04C0-407B-A797-DAC13E668CD4,,date of birth,+1564-04-00T00:00:00Z,,+1564-04-01T00:00:00Z,,re_formatting,False,False,False,True,True,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2331165864,569,Q269240$eac2ee98-36c0-4cef-85e6-b325b467c443,,date of birth,+1881-00-00T00:00:00Z,,+1881-12-00T00:00:00Z,,unrefinement,False,False,False,True,True,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2154062571,570,Q79059$b4849257-4eeb-09c9-dc48-55a691663ff3,,date of death,+2024-05-00T00:00:00Z,,+2024-05-07T00:00:00Z,,unrefinement,False,False,False,True,True,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
432967982,570,Q457279$4B1D99D2-232A-44C7-9FFF-35C58BFE89CB,,date of death,+2002-00-00T00:00:00Z,,+2002-01-20T00:00:00Z,,unrefinement,False,False,False,True,True,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
754782364,-1,label,,label,iRacing,,IRacing.com,,"re_formatting, unrefinement",False,False,False,True,False,False,False,False,"['re_formatting', ' unrefinement']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
93376902,-1,label,,label,Time of Vultures,,Il tempo degli avvoltoi,,property_value_update,False,False,False,False,True,False,False,False,['property_value_update'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2261340827,570,Q246515$e0556ef4-43aa-6e9a-41bf-347b3098d087,,date of death,+2024-10-00T00:00:00Z,,+2024-10-14T00:00:00Z,,unrefinement,False,False,False,True,True,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16332362,-2,description,,description,number representing a single entity,,represents a single entity,,refinement,False,False,False,False,False,False,False,False,['refinement'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
519090196,-1,label,,label,Elmalı,,"Elmalı, Uzunköprü",,unrefinement,False,False,False,True,False,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1186359438,-2,description,,description,Roman emperor,,Emperor of Ancient Rome,,rewording,False,False,False,False,False,False,False,False,['rewording'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
313705713,-2,description,,description,Canadian actress,,Canadian actor,,property_value_update,False,False,False,False,False,False,False,False,['property_value_update'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
711117381,106,q116344$21546FD3-6EC5-4133-95C6-DDD8B23DA91A,,occupation,Q350979,zoologist,Q864503,biologist,refinement,False,False,False,False,False,False,False,False,['refinement'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
213109637,-2,description,,description,{},,Spanish association football club,,property_value_update,False,False,False,False,False,False,False,False,['property_value_update'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
411829390,679,Q421071$CAD88C05-BB67-4421-A87A-E3C8B53FFEDD,,ZVG number,6250,,006250,,re_formatting,False,False,False,False,False,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2259751448,6394,q140412$77dcf82d-4b2d-2234-6fd3-341a8f6bcfe4,,ELNET ID,11188856,,a11188856,,re_formatting,False,False,False,False,False,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2259746851,6394,q86220$f3ba7ee4-406e-963e-69b3-9086bf32b02d,,ELNET ID,11916035,,a11916035,,re_formatting,False,False,False,False,False,False,False,False,['re_formatting'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1583278598,-1,label,,label,Schöneberg,,Berlin-Schöneberg,,unrefinement,False,False,False,True,False,False,False,False,['unrefinement'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220822,-2,description,,description,Province of Canada,,Province in Canada,,textual_change,True,False,False,False,False,False,False,False,['textual_change'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1887558440,242,Q200124$2b41b349-41c4-89f0-3b8b-bef0138e9f8f,,locator map image,Vayots Dzor in Armenia.svg,,Vayots Dzor.svg,,refinement,False,False,True,False,False,False,False,False,['refinement'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
